name,task,input,loop-number,count,time
proposed,heavy,50000000,22,5,5198092
proposed,heavy,50000000,22,6,5192694
proposed,heavy,50000000,22,7,5213649
proposed,heavy,50000000,22,8,5179972
proposed,heavy,50000000,22,9,5181201
proposed,heavy,50000000,22,10,5190613
proposed,heavy,50000000,23,1,7082740
proposed,heavy,50000000,23,2,5191066
proposed,heavy,50000000,23,3,5210168
proposed,heavy,50000000,23,4,5217990
proposed,heavy,50000000,23,5,5226746
proposed,heavy,50000000,23,6,5228263
proposed,heavy,50000000,23,7,5183953
proposed,heavy,50000000,23,8,5180754
proposed,heavy,50000000,23,9,5200678
proposed,heavy,50000000,23,10,5212312
proposed,heavy,50000000,24,1,5473293
proposed,heavy,50000000,24,2,5236004
proposed,heavy,50000000,24,3,5205873
proposed,heavy,50000000,24,4,5195693
proposed,heavy,50000000,24,5,5212258
proposed,heavy,50000000,24,6,5197701
proposed,heavy,50000000,24,7,5188534
proposed,heavy,50000000,24,8,5214755
proposed,heavy,50000000,24,9,5239172
proposed,heavy,50000000,24,10,5233775
proposed,heavy,50000000,25,1,5514850
proposed,heavy,50000000,25,2,5221388
proposed,heavy,50000000,25,3,5214898
proposed,heavy,50000000,25,4,5144909
proposed,heavy,50000000,25,5,5175012
proposed,heavy,50000000,25,6,5208917
proposed,heavy,50000000,25,7,5198768
proposed,heavy,50000000,25,8,5217250
proposed,heavy,50000000,25,9,5216980
proposed,heavy,50000000,25,10,5223604
proposed,heavy,50000000,26,1,5530110
proposed,heavy,50000000,26,2,5201342
proposed,heavy,50000000,26,3,5186365
proposed,heavy,50000000,26,4,5327917
proposed,heavy,50000000,26,5,5224956
proposed,heavy,50000000,26,6,5203799
proposed,heavy,50000000,26,7,5189590
proposed,heavy,50000000,26,8,5189684
proposed,heavy,50000000,26,9,5196380
proposed,heavy,50000000,26,10,5215677
proposed,heavy,50000000,27,1,5527371
proposed,heavy,50000000,27,2,5222871
proposed,heavy,50000000,27,3,5213769
proposed,heavy,50000000,27,4,5210317
proposed,heavy,50000000,27,5,5218087
proposed,heavy,50000000,27,6,5246153
proposed,heavy,50000000,27,7,5236320
proposed,heavy,50000000,27,8,5211801
proposed,heavy,50000000,27,9,5187791
proposed,heavy,50000000,27,10,5208426
proposed,heavy,50000000,28,1,5498522
proposed,heavy,50000000,28,2,5188594
proposed,heavy,50000000,28,3,5203546
proposed,heavy,50000000,28,4,5159235
proposed,heavy,50000000,28,5,5227764
proposed,heavy,50000000,28,6,5188577
proposed,heavy,50000000,28,7,5215254
proposed,heavy,50000000,28,8,5194038
proposed,heavy,50000000,28,9,5237739
proposed,heavy,50000000,28,10,5186133
proposed,heavy,50000000,29,1,5511511
proposed,heavy,50000000,29,2,5216501
proposed,heavy,50000000,29,3,5192346
proposed,heavy,50000000,29,4,5199316
proposed,heavy,50000000,29,5,5203171
