name,task,input,loop-number,count,time
proposed,light,92,33,1,1101
proposed,light,92,33,2,1580
proposed,light,92,33,3,1547
proposed,light,92,33,4,1547
proposed,light,92,33,5,1501
proposed,light,92,33,6,1522
proposed,light,92,33,7,1665
proposed,light,92,33,8,1599
proposed,light,92,33,9,1967
proposed,light,92,33,10,1646
proposed,light,92,34,1,1903
proposed,light,92,34,2,4582
proposed,light,92,34,3,4590
proposed,light,92,34,4,2455
proposed,light,92,34,5,2534
proposed,light,92,34,6,2521
proposed,light,92,34,7,3071
proposed,light,92,34,8,2454
proposed,light,92,34,9,2640
proposed,light,92,34,10,2545
proposed,light,92,35,1,1162
proposed,light,92,35,2,1322
proposed,light,92,35,3,1353
proposed,light,92,35,4,1839
proposed,light,92,35,5,3081
proposed,light,92,35,6,2014
proposed,light,92,35,7,1852
proposed,light,92,35,8,1832
proposed,light,92,35,9,2019
proposed,light,92,35,10,2065
proposed,light,92,36,1,759
proposed,light,92,36,2,1316
proposed,light,92,36,3,1083
proposed,light,92,36,4,1836
proposed,light,92,36,5,2897
proposed,light,92,36,6,1607
proposed,light,92,36,7,1746
proposed,light,92,36,8,1157
proposed,light,92,36,9,981
proposed,light,92,36,10,1639
proposed,light,92,37,1,1151
proposed,light,92,37,2,1112
proposed,light,92,37,3,2023
proposed,light,92,37,4,1809
proposed,light,92,37,5,1144
proposed,light,92,37,6,1465
proposed,light,92,37,7,1271
proposed,light,92,37,8,1004
proposed,light,92,37,9,962
proposed,light,92,37,10,947
proposed,light,92,38,1,1589
proposed,light,92,38,2,10194
proposed,light,92,38,3,2340
proposed,light,92,38,4,1825
proposed,light,92,38,5,1538
proposed,light,92,38,6,1811
proposed,light,92,38,7,880
proposed,light,92,38,8,1754
proposed,light,92,38,9,1310
proposed,light,92,38,10,1157
proposed,light,92,39,1,873
proposed,light,92,39,2,870
proposed,light,92,39,3,2745
proposed,light,92,39,4,4829
proposed,light,92,39,5,3770
proposed,light,92,39,6,2193
proposed,light,92,39,7,2683
proposed,light,92,39,8,639
proposed,light,92,39,9,2484
proposed,light,92,39,10,2783
proposed,light,92,40,1,1848
proposed,light,92,40,2,3221
proposed,light,92,40,3,2895
proposed,light,92,40,4,1266
proposed,light,92,40,5,1266
proposed,light,92,40,6,1390
proposed,light,92,40,7,1370
proposed,light,92,40,8,1463
proposed,light,92,40,9,1352
proposed,light,92,40,10,1081
proposed,light,92,41,1,1319
proposed,light,92,41,2,1949
proposed,light,92,41,3,1294
proposed,light,92,41,4,1370
proposed,light,92,41,5,1337
proposed,light,92,41,6,2290
proposed,light,92,41,7,3544
proposed,light,92,41,8,1758
proposed,light,92,41,9,1735
proposed,light,92,41,10,1230
proposed,light,92,42,1,1289
proposed,light,92,42,2,7797
proposed,light,92,42,3,5832
proposed,light,92,42,4,6164
proposed,light,92,42,5,6956
proposed,light,92,42,6,996
proposed,light,92,42,7,2947
proposed,light,92,42,8,7089
proposed,light,92,42,9,2613
proposed,light,92,42,10,1722
proposed,light,92,43,1,2834
proposed,light,92,43,2,1828
proposed,light,92,43,3,1112
proposed,light,92,43,4,1445
proposed,light,92,43,5,1285
proposed,light,92,43,6,1271
proposed,light,92,43,7,1217
proposed,light,92,43,8,1211
proposed,light,92,43,9,983
proposed,light,92,43,10,1576
proposed,light,92,44,1,1479
proposed,light,92,44,2,3412
proposed,light,92,44,3,1215
proposed,light,92,44,4,1603
proposed,light,92,44,5,1518
proposed,light,92,44,6,1664
proposed,light,92,44,7,1659
proposed,light,92,44,8,1001
proposed,light,92,44,9,2538
proposed,light,92,44,10,1577
proposed,light,92,45,1,1074
proposed,light,92,45,2,917
proposed,light,92,45,3,1158
proposed,light,92,45,4,1283
proposed,light,92,45,5,1262
proposed,light,92,45,6,887
proposed,light,92,45,7,1216
proposed,light,92,45,8,1069
proposed,light,92,45,9,894
proposed,light,92,45,10,2136
proposed,light,92,46,1,1125
proposed,light,92,46,2,2160
proposed,light,92,46,3,3178
proposed,light,92,46,4,3254
proposed,light,92,46,5,1909
proposed,light,92,46,6,1738
proposed,light,92,46,7,1313
proposed,light,92,46,8,840
proposed,light,92,46,9,1317
proposed,light,92,46,10,1220
proposed,light,92,47,1,899
proposed,light,92,47,2,2129
proposed,light,92,47,3,1258
proposed,light,92,47,4,1294
proposed,light,92,47,5,1203
proposed,light,92,47,6,1987
proposed,light,92,47,7,1190
proposed,light,92,47,8,1139
proposed,light,92,47,9,1504
proposed,light,92,47,10,1529
proposed,light,92,48,1,1735
proposed,light,92,48,2,1360
proposed,light,92,48,3,2740
proposed,light,92,48,4,2428
proposed,light,92,48,5,2393
proposed,light,92,48,6,1402
proposed,light,92,48,7,1373
proposed,light,92,48,8,2300
proposed,light,92,48,9,1745
proposed,light,92,48,10,3348
proposed,light,92,49,1,1177
proposed,light,92,49,2,1132
proposed,light,92,49,3,1419
proposed,light,92,49,4,1242
proposed,light,92,49,5,1372
proposed,light,92,49,6,1146
proposed,light,92,49,7,2094
proposed,light,92,49,8,916
proposed,light,92,49,9,1244
proposed,light,92,49,10,1820
proposed,light,92,50,1,1656
proposed,light,92,50,2,2737
proposed,light,92,50,3,4483
proposed,light,92,50,4,3867
proposed,light,92,50,5,1168
proposed,light,92,50,6,1205
proposed,light,92,50,7,1105
proposed,light,92,50,8,1967
proposed,light,92,50,9,1975
proposed,light,92,50,10,1264
proposed,light,92,51,1,1052
proposed,light,92,51,2,1097
proposed,light,92,51,3,1402
proposed,light,92,51,4,892
proposed,light,92,51,5,972
proposed,light,92,51,6,1046
proposed,light,92,51,7,1450
proposed,light,92,51,8,1138
proposed,light,92,51,9,920
proposed,light,92,51,10,1128
proposed,light,92,52,1,1713
proposed,light,92,52,2,4144
proposed,light,92,52,3,4389
proposed,light,92,52,4,2692
proposed,light,92,52,5,1972
proposed,light,92,52,6,3945
proposed,light,92,52,7,2785
proposed,light,92,52,8,3119
proposed,light,92,52,9,2975
proposed,light,92,52,10,3088
proposed,light,92,53,1,1739
proposed,light,92,53,2,1634
proposed,light,92,53,3,1640
proposed,light,92,53,4,1811
proposed,light,92,53,5,2011
proposed,light,92,53,6,1531
proposed,light,92,53,7,1638
proposed,light,92,53,8,1555
proposed,light,92,53,9,2093
proposed,light,92,53,10,4774
proposed,light,92,54,1,1627
proposed,light,92,54,2,3823
proposed,light,92,54,3,4174
proposed,light,92,54,4,1834
proposed,light,92,54,5,1554
proposed,light,92,54,6,4072
proposed,light,92,54,7,2647
proposed,light,92,54,8,2990
proposed,light,92,54,9,2830
proposed,light,92,54,10,1763
proposed,light,92,55,1,1699
proposed,light,92,55,2,1455
proposed,light,92,55,3,2340
proposed,light,92,55,4,1411
proposed,light,92,55,5,1287
proposed,light,92,55,6,1322
proposed,light,92,55,7,1641
proposed,light,92,55,8,1363
proposed,light,92,55,9,1328
proposed,light,92,55,10,1373
proposed,light,92,56,1,1797
proposed,light,92,56,2,1935
proposed,light,92,56,3,1203
proposed,light,92,56,4,1371
proposed,light,92,56,5,2120
proposed,light,92,56,6,1767
proposed,light,92,56,7,2190
proposed,light,92,56,8,1812
proposed,light,92,56,9,1769
proposed,light,92,56,10,1882
proposed,light,92,57,1,2225
proposed,light,92,57,2,1335
proposed,light,92,57,3,1205
proposed,light,92,57,4,4393
proposed,light,92,57,5,2537
proposed,light,92,57,6,3162
proposed,light,92,57,7,3685
proposed,light,92,57,8,827
proposed,light,92,57,9,1679
proposed,light,92,57,10,2058
proposed,light,92,58,1,1487
proposed,light,92,58,2,4557
proposed,light,92,58,3,5771
proposed,light,92,58,4,2644
proposed,light,92,58,5,5083
proposed,light,92,58,6,5407
proposed,light,92,58,7,6393
proposed,light,92,58,8,3009
proposed,light,92,58,9,2747
proposed,light,92,58,10,2191
proposed,light,92,59,1,1484
proposed,light,92,59,2,5275
proposed,light,92,59,3,2740
proposed,light,92,59,4,1932
proposed,light,92,59,5,2100
proposed,light,92,59,6,1809
proposed,light,92,59,7,1341
proposed,light,92,59,8,5502
proposed,light,92,59,9,1517
